28.36588,-81.2654
28.36587,-81.26525
28.36585,-81.26509
28.36584,-81.26498
28.36585,-81.26405
28.3659,-81.26312
28.3659,-81.26311
28.36595,-81.26236
28.366,-81.26188
28.36612,-81.26127
28.36619,-81.26098
28.36621,-81.26091
28.36623,-81.26085
28.36626,-81.26075
28.36629,-81.26064
28.36635,-81.26047
28.3664,-81.26032
28.36645,-81.26018
28.36655,-81.2599
28.36661,-81.25972
28.36678,-81.25925
28.36685,-81.25904
28.36692,-81.25881
28.36703,-81.25847
28.36705,-81.25833
28.36707,-81.25819
28.36709,-81.25806
28.3671,-81.25799
28.3671,-81.25792
28.36711,-81.25779
28.36711,-81.25768
28.36711,-81.25759
28.36711,-81.25745
28.3671,-81.25728
28.36709,-81.25719
28.36708,-81.25709
28.36708,-81.25701
28.36707,-81.2569
28.36708,-81.25679
28.36708,-81.25665
28.36709,-81.25653
28.3671,-81.25642
28.36712,-81.25626
28.36716,-81.25605
28.36718,-81.25595
28.3672,-81.25586
28.36722,-81.25576
28.36726,-81.25565
28.3673,-81.25553
28.36739,-81.25527
28.36739,-81.25526
28.36748,-81.25498
28.36753,-81.25483
28.36756,-81.2547
28.36758,-81.25458
28.3676,-81.25439
28.36761,-81.25424
28.36762,-81.25403
28.36761,-81.25385
28.3676,-81.25366
28.36756,-81.2534
28.36752,-81.25318
28.36746,-81.253
28.36737,-81.25276
28.3673,-81.2526
28.36717,-81.25236
28.36707,-81.25221
28.36694,-81.25205
28.36682,-81.25189
28.36667,-81.25174
28.36649,-81.25159
28.36647,-81.25157
28.36632,-81.25147
28.36618,-81.25138
28.36601,-81.25129
28.36582,-81.25122
28.36565,-81.25116
28.36537,-81.25109
28.36506,-81.251
28.36488,-81.25093
28.36473,-81.25086
28.3646,-81.25077
28.36449,-81.25069
28.36431,-81.25053
28.3642,-81.25039
28.36411,-81.25025
28.36401,-81.25007
28.364,-81.25005
28.36394,-81.2499
28.36389,-81.24974
28.36384,-81.24948
28.36382,-81.24929
28.36378,-81.24906
28.36376,-81.24883
28.36371,-81.24865
28.36369,-81.24849
28.36368,-81.24836
28.36368,-81.24819
28.36368,-81.24817
28.36368,-81.24785
28.36369,-81.24758
28.36369,-81.2475
28.36369,-81.24718
28.36369,-81.24704
28.36373,-81.24695
28.36375,-81.24689
28.36376,-81.24686
28.36379,-81.24682
28.36382,-81.2468
28.36384,-81.24679
28.36386,-81.24677
28.36388,-81.24676
28.36392,-81.24675
28.36396,-81.24675
28.36404,-81.24676
28.36412,-81.24676
28.36416,-81.24675
28.36421,-81.24671
28.36425,-81.24669
28.3643,-81.24666
28.3645,-81.24653
